NAME,STATE,COUNTY,x,y
Ellamar,AK,Valdez-Cordova Census Area,-146.696,60.894
Kasigluk,AK,Bethel Census Area,-162.518,60.855
Kashegelok,AK,Bethel Census Area,-157.846,60.852
Nunapitchuk,AK,Bethel Census Area,-162.473,60.843
Portage,AK,Anchorage Borough,-148.969,60.831
Kwethluk,AK,Bethel Census Area,-161.458,60.804
Bethel,AK,Bethel Census Area,-161.757,60.789
Whittier,AK,Valdez-Cordova Census Area,-148.69,60.773
Silvertip,AK,Kenai Peninsula Borough,-149.374,60.748
Oscarville,AK,Bethel Census Area,-161.82,60.72
Kustatan,AK,Kenai Peninsula Borough,-151.746,60.719
Napakiak,AK,Bethel Census Area,-161.964,60.701
Napaskiak,AK,Bethel Census Area,-161.804,60.694
Tanunak,AK,Bethel Census Area,-165.253,60.582
Kenai,AK,Kenai Peninsula Borough,-151.26,60.559
Port Nellie Juan,AK,Valdez-Cordova Census Area,-148.156,60.549
Cordova,AK,Valdez-Cordova Census Area,-145.744,60.544
Sterling,AK,Kenai Peninsula Borough,-150.794,60.532
Toksook Bay,AK,Bethel Census Area,-165.142,60.527
Eyak,AK,Valdez-Cordova Census Area,-145.592,60.516
Umkumiut,AK,Bethel Census Area,-165.215,60.506
Nightmute,AK,Bethel Census Area,-164.737,60.49
Moose Pass,AK,Kenai Peninsula Borough,-149.383,60.485
Crystal Falls,AK,Valdez-Cordova Census Area,-145.739,60.482
Soldotna,AK,Kenai Peninsula Borough,-151.064,60.476
Cooper Landing,AK,Kenai Peninsula Borough,-149.849,60.475
Kalifornsky,AK,Kenai Peninsula Borough,-151.289,60.414
Mekoryuk,AK,Bethel Census Area,-166.194,60.385
Kasilof,AK,Kenai Peninsula Borough,-151.279,60.378
Cohoe,AK,Kenai Peninsula Borough,-151.327,60.36
Clam Gulch,AK,Kenai Peninsula Borough,-151.38,60.245
Eek,AK,Bethel Census Area,-162.032,60.215
Chefornak,AK,Bethel Census Area,-164.209,60.214
Port Alsworth,AK,Lake and Peninsula Borough,-154.325,60.205
Katalla,AK,Valdez-Cordova Census Area,-144.523,60.198
Seward,AK,Kenai Peninsula Borough,-149.447,60.1
Cape Yakataga,AK,Valdez-Cordova Census Area,-142.423,60.068
Crab Bay,AK,Valdez-Cordova Census Area,-148.014,60.061
Port Ashton,AK,Valdez-Cordova Census Area,-148.056,60.056
Ninilchik,AK,Kenai Peninsula Borough,-151.653,60.047
Nondalton,AK,Lake and Peninsula Borough,-154.864,59.976
Kipnuk,AK,Bethel Census Area,-164.044,59.947
Fish Village,AK,Lake and Peninsula Borough,-154.893,59.939
Happy Valley,AK,Kenai Peninsula Borough,-151.737,59.932
Kwigillingok,AK,Bethel Census Area,-163.153,59.868
Koliganek,AK,Dillingham Census Area,-157.379,59.767
Iliamna,AK,Lake and Peninsula Borough,-154.83,59.758
Newhalen,AK,Lake and Peninsula Borough,-154.899,59.722
Millers Landing,AK,Kenai Peninsula Borough,-151.435,59.671
Homer,AK,Kenai Peninsula Borough,-151.545,59.645
Yakutat,AK,Yakutat Borough,-139.731,59.544
New Stuyahok,AK,Dillingham Census Area,-157.325,59.456
Skagway,AK,Skagway-Hoonah-Angoon Census Area,-135.317,59.451
Seldovia,AK,Kenai Peninsula Borough,-151.709,59.436
Kakhonak,AK,Lake and Peninsula Borough,-154.868,59.432
Klukwan,AK,Haines Borough,-135.891,59.4
Port Graham,AK,Kenai Peninsula Borough,-151.846,59.344
Igiugig,AK,Lake and Peninsula Borough,-155.903,59.318
Aleknagik,AK,Dillingham Census Area,-158.634,59.266
Haines,AK,Haines Borough,-135.464,59.224
Port Chilkoot,AK,Haines Borough,-135.362,59.144
Goodnews Bay,AK,Bethel Census Area,-161.591,59.13
Levelock,AK,Lake and Peninsula Borough,-156.872,59.109
Ekwok,AK,Kenai Peninsula Borough,-156.894,59.088
Togiak,AK,Dillingham Census Area,-160.389,59.073
Dillingham,AK,Dillingham Census Area,-158.459,59.044
Platinum,AK,Bethel Census Area,-161.808,59.003
Manokotak,AK,Dillingham Census Area,-159.057,58.982
Kvichak,AK,Lake and Peninsula Borough,-156.938,58.961
Nushagak,AK,Dillingham Census Area,-158.487,58.943
Koggiung,AK,Bristol Bay Borough,-157.013,58.866
Clarks Point,AK,Dillingham Census Area,-158.555,58.839
Ekuk,AK,Dillingham Census Area,-158.561,58.812
Libbyville,AK,Bristol Bay Borough,-157.057,58.774
Naknek,AK,Bristol Bay Borough,-157.023,58.732
South Naknek,AK,Bristol Bay Borough,-157.009,58.708
King Salmon,AK,Bristol Bay Borough,-156.678,58.688
Port William,AK,Kodiak Island Borough,-152.616,58.502
Taku Lodge,AK,Juneau Borough,-133.933,58.488
Gustavus,AK,Skagway-Hoonah-Angoon Census Area,-135.74,58.406
Tee Harbor,AK,Juneau Borough,-134.748,58.397
Auke Bay,AK,Juneau Borough,-134.666,58.383
Juneau,AK,Juneau Borough,-134.413,58.302
Douglas,AK,Juneau Borough,-134.411,58.275
Funter,AK,Skagway-Hoonah-Angoon Census Area,-134.906,58.262
Thane,AK,Juneau Borough,-134.335,58.262
Egegik,AK,Lake and Peninsula Borough,-157.374,58.211
Elfin Cove,AK,Skagway-Hoonah-Angoon Census Area,-136.341,58.19
Hawk Inlet,AK,Skagway-Hoonah-Angoon Census Area,-134.751,58.128
Hoonah,AK,Skagway-Hoonah-Angoon Census Area,-135.442,58.11
Sunnyside,AK,Skagway-Hoonah-Angoon Census Area,-136.255,57.988
Pelican,AK,Skagway-Hoonah-Angoon Census Area,-136.229,57.963
Ouzinkie,AK,Kodiak Island Borough,-152.489,57.932
Port Wakefield,AK,Kodiak Island Borough,-153.053,57.923
Port Lions,AK,Kodiak Island Borough,-152.888,57.876
Kodiak,AK,Kodiak Island Borough,-152.397,57.797
Tenakee Springs,AK,Skagway-Hoonah-Angoon Census Area,-135.221,57.782
Port O`Brien,AK,Kodiak Island Borough,-153.316,57.733
Uyak,AK,Kodiak Island Borough,-154.004,57.622
Karluk,AK,Kodiak Island Borough,-154.479,57.565
Ugashik,AK,Lake and Peninsula Borough,-157.424,57.538
Larsen Bay,AK,Kodiak Island Borough,-153.99,57.531
Chatham,AK,Sitka Borough,-134.923,57.516
Angoon,AK,Skagway-Hoonah-Angoon Census Area,-134.592,57.498
Todd,AK,Sitka Borough,-135.044,57.467
Old Harbor,AK,Kodiak Island Borough,-153.319,57.204
McCord,AK,Kodiak Island Borough,-153.187,57.142
Saint Paul,AK,Aleutians West Census Area,-170.282,57.119
Baranof,AK,Sitka Borough,-134.841,57.09
Sitka,AK,Sitka Borough,-135.341,57.06
Kake,AK,Wrangell-Petersburg Census Area,-133.922,56.969
Akhiok,AK,Kodiak Island Borough,-154.175,56.947
Port Heiden,AK,Lake and Peninsula Borough,-158.68,56.92
West Petersburg,AK,Wrangell-Petersburg Census Area,-132.991,56.822
Petersburg,AK,Wrangell-Petersburg Census Area,-132.975,56.8
Saint George,AK,Aleutians West Census Area,-169.548,56.597
Wrangell,AK,Wrangell-Petersburg Census Area,-132.384,56.467
Point Baker,AK,Prince of Wales-Outer Ketchikan Census Area,-133.612,56.354
Port Armstrong,AK,Sitka Borough,-134.67,56.297
Chignik,AK,Lake and Peninsula Borough,-158.407,56.287
Port Alexander,AK,Sitka Borough,-134.656,56.258
Port Moller,AK,Aleutians East Borough,-160.581,55.989
Cape Pole,AK,Prince of Wales-Outer Ketchikan Census Area,-133.802,55.956
